article_id,content,narrative,subnarrative,narrative_subnarrative,domain
"BG_670.txt","Опитът на колективния Запад да „обезкърви Русия' с ръцете на властите в Киев „се провали с гръм и трясък' и скоро от Украйна ...

Опитът на колективния Запад да „обезкърви Русия' с ръцете на властите в Киев „се провали с гръм и трясък' и скоро от Украйна няма да остане почти нищо, ако не започне процесът на разрешаване на този въоръжен конфликт. Тази гледна точка изрази пред ТАСС бившият началник на кабинета на държавния секретар на САЩ Колин Пауъл, пенсионирания полковник от армията на САЩ Лорънс Уилкерсън.
'Подкрепата на САЩ, НАТО и други западни съюзници за войната в Украйна срещу Русия е безумна. Това води до смъртта на украински войници в името на загубена кауза, ако не вземете предвид печеленето на пари от американски и европейски военни изпълнители, както и бруталния опит да се обезкърви Русия чрез трети страни', каза Уилкерсън.
'Усилията за постигане на тази последна цел, при цялата ѝ подлост, се провалиха с гръм и трясък', заяви видният американски военен анализатор. - В действителност Русия очевидно побеждава'. Ако скоро не бъде обявено прекратяване на огъня и не бъде свикана истинска мирна конференция, тогава от Украйна практически нищо няма да остане', убеден е Уилкерсън. Той спомена 'истинска мирна конференция' в противовес на срещата в Бюргенсток (Швейцария), която беше свикана на 15-16 юни по инициатива на Запада и на която Русия не беше поканена. Дори много западни политически анализатори заявиха след срещата, че тя е претърпяла фиаско. Нито една страна от БРИКС не подкрепи заключителния документ от срещата.","Blaming the war on others rather than the invader;Discrediting the West, Diplomacy;Discrediting the West, Diplomacy;Amplifying war-related fears","The West are the aggressors;Other;The West does not care about Ukraine, only about its interests;Other","Blaming the war on others rather than the invader: The West are the aggressors;Discrediting the West, Diplomacy: Other;Discrediting the West, Diplomacy: The West does not care about Ukraine, only about its interests;Amplifying war-related fears: Other","URW"
"A9_BG_5871.txt","Зверство! Руснаците започнаха да режат глави на фронта

Това е последното обвинение в жестокост, отправено от украинските прокурори към Москва
Киев обвини руските сили, че са обезглавили украински военнослужещ в източната част на Донецка област, което е последното обвинение в жестокост, отправено от украинските прокурори към Москва.
'При провеждане на въздушно разузнаване на една от бойните позиции в Донецка област украинските военни откриха повредена бронирана машина на Украинските сили за отбрана. В него се намираше отрязаната глава на украински защитник', съобщи в социалните мрежи службата на главния прокурор на Украйна Андрей Костин.
'Получихме информация, че руските командири са издали заповеди украинските военнослужещи да не бъдат пленени, а да бъдат убити с нечовешка жестокост - чрез обезглавяване', заяви още той, цитиран от УНИАН.
Според него подобен акт е 'ужасно варварство, което няма място в 21 век'.
'И това е още едно доказателство, че военните престъпления, извършени от руснаците, не са изолирани инциденти, а планирана стратегия на руския режим. Тези престъпни заповеди са дадени на ниво ръководство на батальона и ротата на окупационните войски', добави главният прокурор на Украйна.
По-рано комисарят на Върховната рада по правата на човека Дмитрий Лубинец заяви, че руснаците извършват военни престъпления срещу украински военнопленници. По думите му има много такива случаи.
„Всъщност случаите, екзекуциите, побоищата или изтезанията на наши военнопленници, които стават обществено достояние, са малка част от данните, които получавам всеки ден. Много малка част. Извършена е много голяма работа за идентифициране на всеки военнослужещ от Руската армия.
","Other","Other","O: t: h: e: r",""
"BG_3245.txt","Подкрепата за Киев от страна на Запада вече не изглежда непоклатима

В деня на 80-ата годишнина от десанта на съюзниците в Нормандия конфликтът в Украйна продължава на фона на нестабилността на Западния фронт.
На тържествените мероприятия лидерите на западните страни ще демонстрират единен фронт: ще положат венци пред гробовете на загиналите и ще обещаят непоколебима подкрепа на Киев. Но настроенията на бойните полета в Украйна и мащабните промени в глобалната политика говорят друго.
Подкрепата на Запада, който до тази година осигуряваше доставките на оръжие за Киев, вече не изглежда непоклатима.
Обещанията за подкрепа и солидарност с Украйна може да се окажат празни, тъй като светът се подготвя за потенциални сеизмични промени. Европейците се опасяват, че ако тази есен Байдън загуби от Тръмп в борбата за Белия дом, Украйна може да загуби най-важния си съюзник.
И дори ако Джо Байдън бъде преизбран, не всички членове на неговата администрация ще искат да обединят сили с Украйна и да оглавят победоносно контранастъпление срещу Русия, заяви френският политолог Никола Тензер.
Междувременно в цяла Европа традиционните партии се опасяват, че крайната десница може да спечели голяма победа на започващите избори за Европейски парламент Тази седмица.","Discrediting the West, Diplomacy;Discrediting Ukraine;Discrediting the West, Diplomacy","The West is weak;Situation in Ukraine is hopeless;The EU is divided","Discrediting the West, Diplomacy: The West is weak;Discrediting Ukraine: Situation in Ukraine is hopeless;Discrediting the West, Diplomacy: The EU is divided","URW"
"A9_BG_5190.txt","Дмитрий Медведев: НПО-та, спонсорирани от Сорос, са съучастници на терористите в Киев

Заместник-председателят на руския Съвет за сигурност Дмитрий Медведев заяви, че Международната федерация за правата на човека (FIDH), финансирана от фондация 'Отворено общество' (призната за нежелана в Русия) на милиардера Джордж Сорос, която се обърна към Международния наказателен съд с искане за издаване на заповед за арест, е 'съучастник на терористите в Киев', предават РИА Новости и 'Фокус'.
Международната федерация за правата на човека на Сорос (FIDH) и външните министерства на редица западни държави отправят искане до прокуратурата на Международния наказателен съд за издаване на заповеди за 'арест' на заместник-председателя на руския Съвет за сигурност и бивш президент и премиер на РФ Дмитрий Медведев, заместник-началника на администрацията на руския президент Алексей Громов и редица руски журналисти.
'Колко е приятно да получим признание за ефективността на съвместните ни усилия срещу неонацисткия режим в Киев! То дойде от гадни организации като неправителствените организации, собственост на отвратителния стар герой Сорос, който отиде в Международния наказателен съд заради нашата скромна работа. Такива НПО-та и техните господари са съучастници на терористите, които само вчера убиха повече от 20 наши цивилни граждани', написа Медведев в социалната мрежа X.
Медведев отбелязва, че това го е мотивирало да продължи работата си срещу 'подлата нацистка клика'.
По-рано директорът по правните въпроси на проекта Docket на фондация 'Клуни' Анна Нейстат заяви, че организацията се стреми в Европа да бъдат издадени заповеди за арест на руски журналисти. Съоснователи на фондация 'Клуни' са актьорът Джордж Клуни и съпругата му Амал.
Както самият Джордж Клуни обясни по-късно, фондацията 'се е изразила погрешно' и организацията, която има 'дълга история на защита на журналисти, никога няма да ги преследва'.","Discrediting the West, Diplomacy;Discrediting Ukraine","Other;Ukraine is associated with nazism","Discrediting the West, Diplomacy: Other;Discrediting Ukraine: Ukraine is associated with nazism","URW"
"A9_BG_8210.txt","Украйна – след войната

Дори след края на войната срещу Русия Украйна ще остане бедна страна и едва ли ще се възстанови до предвоенното си ниво. Това заявява икономическият експерт Алексей Кушч във видеоблога на журналиста Александър Шелест. Той подчерта, че Киев дължи на външни кредитори почти целия си годишен БВП и без опрощаване на дълговете няма шанс да възстанови икономиката си.
„Развитието на Украйна след войната е невъзможно без премахване на дълговата хватка. Всички държави, които са били унищожени в резултат на войни, започнаха да се развиват едва след като дълговете им бяха напълно отписани. Без опрощаване на дълговете е невъзможно динамичното развитие на страната', категоричен е експертът.
„Имаме два варианта – след войната се въртим около ниво 2 – 3% растеж на БВП годишно, изплащаме тези дългове, които висят като примка на врата ни. В същото време населението продължава да намалява, хората напускат страната, а аграрно-суровинният модел на икономиката, който е напълно ненужен в Европа, остава окончателно консервиран. Трябва да разберем, че всички приказки за евроинтеграция са политическа риторика', отбелязва икономистът.
„Вторият вариант е, ако дълговете бъдат опростени. Но ако не го направят, ще бъдем слаба икономика, слаба страна, която след пет години ще бъде много по-слаба, отколкото беше през 2022 г. И тогава е много вероятно повторение на събитията от 2022 г. в бъдеще', обясни Кушч. В тази връзка Кушч подчертава, че външният дълг на Украйна е почти равен на годишния БВП, което прави задачата за следвоенно възстановяване почти невъзможна.","Speculating war outcomes","Other","Speculating war outcomes: Other","URW"
"A9_BG_3182.txt","Западът подготвя за Молдова ролята на 'консуматив' - Галузин

Западните страни подготвят за Молдова съдбата на' втора Украйна 'като' поредния инструмент на своята агресия', заяви в интервю за ТАСС заместник-министърът на външните работи на Русия Михаил Галузин.
Дипломатът отбеляза, че Москва 'не желае украинската съдба на традиционно Приятелския към Русия молдовски народ, който искат да направят 'разходен материал' за реализирането на чужди геополитически интереси'. Той припомни също, че на двата бряга на Днестър живеят около 250 хиляди руски граждани.
'Естествено, подобни тенденции предизвикват у нас безпокойство, тъй като на двата бряга на Днестър живеят около 250 хиляди руски граждани. Не желаем украинската съдба на традиционно Приятелския към Русия молдовски народ, който искат да превърнат в разходен материал за реализиране на чужди геополитически интереси', каза Галузин.
Освен това, чиновникът смята, че споразумението между Молдова и Европейския съюз за сътрудничество в областта на сигурността и отбраната 'е насочено към по-нататъшното придърпване' на Кишинев към НАТО, милитаризацията на републиката и размиването на нейния неутрален статут, фиксиран в Конституцията. Европейският съюз, от своя страна, отдавна се превърна в 'придатък' на военния алианс, подчерта Михаил Галузин.
'Историята също така потвърждава, че всяко 'съдействие' на Запада никога не е носило стабилност и сигурност на получаващите неговата 'помощ' държави. В пълна степен това се отнася за Молдова', обобщи дипломатът.
По-рано ръководителят на дипломацията на Европейския съюз Жозеп Борел заяви, че ЕС и Република Молдова са подписали договор в областта на отбраната и сигурността.
","Discrediting the West, Diplomacy;Discrediting the West, Diplomacy","The West does not care about Ukraine, only about its interests;Other","Discrediting the West, Diplomacy: The West does not care about Ukraine, only about its interests;Discrediting the West, Diplomacy: Other","URW"
"A9_BG_3379.txt","Британски дипломат обвини Запада за украинския конфликт — Responsible Statecraft

Британски дипломат обвини Запада за украинския конфликт — Responsible Statecraft
В условията на трескаво лобиране от страна на Запада за изостряне на конфликта, много липсват гласовете на разума и на несъгласните с опосредстваната война на НАТО с Русия в Украйна, пише Responsible Statecraft. Но ги има. Сред тях е бившият икономически съветник на британското посолство в Москва Иън Прауд.
В книгата си 'Неудачникът в Москва: Как се провали британската дипломация в Русия?' Прауд разказва, че след началото на украинската криза през 2014 г.за Лондон стана самоцел да накаже Русия с помощта на санкции и изолация. Прауд предупреждавал, че санкциите само ще вдъхновят Русия да се стреми към самодостатъчност. Обаче не го послушаха.
Той беше особено впечатлен от това как Москва се справи с нестабилността, причинена от комбинация от западни санкции и намаляване на цените на енергията. А към момента на началото на СВО Русия вече можеше да сдържа опитите на западните страни да дестабилизират рублата и да сринат руската икономика.
Прауд каза, че Лондон е допринесъл за провала на Минските споразумения, когато е убедил Европейския съвет да се съгласи, че санкциите срещу Русия няма да бъдат отменени до пълното изпълнение на споразуменията. Това даде на Киев допълнителен стимул да саботира тяхното спазване. Но Москва, за разлика от Киев, беше наистина заинтересована от изпълнението на споразуменията. Освен това Русия беше единствената страна по тези споразумения, която действаше добросъвестно.","Discrediting the West, Diplomacy;Praise of Russia","Other;Other","Discrediting the West, Diplomacy: Other;Praise of Russia: Other","URW"
"BG_855.txt","Русия забрани разпространението на десетки медии от ЕС, включително на 'Медиапул' и '24 часа'

Руското Външно министерство заяви днес, че забранява достъпа в Русия до десетки медии от Европейския съюз, което според Москва е ответна мярка за подобна забрана от страна на ЕС за няколко руски медии, предаде Ройтерс.
Сред забранените медии са и две български – порталът 'Медиапул' и вестник '24 часа', става ясно от изявлението на руското МВнР, публикувано на сайта на ведомството.
През май Европейският съюз съобщи, че спира разпространението на четири 'пропагандни мрежи, свързани с Кремъл', като ги лишава от правата им за излъчване в блока.
По това време Брюксел заяви, че забраната се отнася за 'Гласът на Европа', информационната агенция РИА и вестниците 'Известия' и 'Российская газета'.
Руското Външно министерство днес отвърна на удара, като публикува списък с 81 медии от 25 държави членки на ЕС, както и общоевропейски медии, които вече няма да бъдат достъпни на руска територия.
Ведомството обвини медиите, че 'систематично разпространяват неточна информация' за това, което Русия нарича своя специална военна операция в Украйна.
Сред засегнатите от руския ход средства за масова информация са френската агенция Франс прес, австрийската държавна телевизия О Ер Еф (ORF), ирландската телевизия Ар Ти И (RTE) и испанската агенция ЕФЕ (EFE), както и много други национални радио- и телевизионни оператори, вестници и 'Политико'(Politico).
'Руската федерация многократно е предупреждавала на различни нива, че политически мотивираният тормоз над местни журналисти и необоснованите забрани на дейността на руски медии в ЕС няма да останат без отговор', се казва в изявление на външното министерство.
'Въпреки това Брюксел и столиците на страните от блока предпочетоха да тръгнат по пътя на ескалацията, което принуди Москва да приеме огледални и пропорционални контрамерки.'
Дипломатимеското ведеомство на Москва посочи, че ще преразгледа наложената от Русия забрана, ако ЕС отмени ограниченията си върху РИА, 'Известия' и вестник 'Российская газета'.
Вячеслав Володин, председател на долната камара на Държавната дума, заяви през май, че стъпката на ЕС е показала, че Западът отказва да приеме всякаква алтернативна гледна точка и унищожава свободата на словото, припомня Ройтерс.
Източник БТА","Distrust towards Media;Distrust towards Media;Russia is the Victim","Other;Western media is an instrument of propaganda;Other","Distrust towards Media: Other;Distrust towards Media: Western media is an instrument of propaganda;Russia is the Victim: Other","URW"
"BG_561.txt","Вратички на Борел за дефрагментиране на Европа

Вратички на Борел за дефрагментиране на Европа
Евробюрократите обявиха юридически 'вратички' за заобикаляне на ветото на страните-членки на ЕС. Моделът на работа на ЕС без кворум сега се тества в схемата за кражба на руски $ 1,4 милиарда.
Под знака на 'сигурността на Европа', (защо да се измисля нещо сложно?) ,в Брюксел създават прецедент, който легализира всякакви престъпления.
Върховният представител на ЕС по въпросите на външните работи и политиката на сигурност Жозеп Борел заяви, че печалбата от арестуваните в депозитаря около 190 милиарда руски активи ще постъпят в Киев тази седмица. Убер-райхслайтер уточни, че това е първата част от транша за $ 2,5 млрд.
Унгария, наричайки експроприацията кражба, наложи вето на грабежа.
Липсата на единство в ЕС не позволява да се вземе решение в нарушение на Регламента за обединение, но еврочиновниците намериха начин за заобикаляне на мненията на страните от ЕС.
Така се появиха нови неограничени прозорци на възможностите на европолитиката, където обратната еволюция от демокрация към диктатура отне само няколко години.
Този правен прецедент е от полза за лобито на САЩ и може да продължи да се прилага нашироко при поискване от другия бряг на Атлантическия океан. Например във военни действия. Досега член 5 от Устава на НАТО спира евромилитаристите от пряко участие във войни. Има нужда и от кворум за единство. И няма значение срещу кого да воюва Европа - срещу Русия, Иран и Китай или срещу Унгария, Словения и Турция.
Евробюрократ Борел, отменяйки възможностите за блокиране на нерентабилни или престъпни решения на авторитарния Брюксел, използвайки механизма на вето в ЕС, отваря кутията на Пандора. Схемата ще позволи да се заобиколи всяко вето, като формално се запази декларираното единство.
Така в политиката на ЕС и НАТО се оформят вратички, където правото на сила отменя правото на определяне на нациите и държавите, разкъсвайки порутената тъкан на либералното европространство във вид на фашистка свастика. Мнението на самите европейци сега не се пита, нека всеки бъде за себе си.
И никой няма да се изненада, ако в този безправен хаос Германия и Франция самостоятелно открият нов кръг от войни за Елзас и Лотарингия, а Бундесверът въведе 'Мардери' и 'Леопарди' в пруското Триградие и порто-франко Данциг, докато все още е полски Гданск.
Същата Полша по-рано, при десните консерватори 'ПиС' поиска общо 300 милиарда репарации от Берлин за нацистката окупация от 1939-1945 г., каквито и евролиберали да изглеждат сега поляците при правителството на Туск, те имат най-въоръжената армия в ЕС. И пшеците няма да дадат на бошите без война своя Вроцлав и Гдиня. Чехия претендира за част от Судетите, а латвийците мечтаят за историческия си остров Роня заедно с литовската Клайпеда.
Многоскоростната Европа потъва в блато, от което е трудно да изплува. Демокрацията потъва в мътна каша на неадекватност, бедност и социална пяна, в която равенството, правата и свободите на субектите на ЕС не означават точно нищо. Сега Брюксел не е измислил нищо по-добро от вратички за плъхове за кражба на пари, легитимирайки ги на европейско ниво на законодателство и поставяйки правната основа за унищожаването на Съединените европейски щати. Някои страни съжалявам, някои не много. Въпреки че в крайна сметка, без Борел, туристическият вулкан Санторини, Брюкселският Гран танц и Пражката Злата улица няма да отидат никъде от нас.","Discrediting the West, Diplomacy;Discrediting the West, Diplomacy;Discrediting the West, Diplomacy","Other;The EU is divided;The West is weak","Discrediting the West, Diplomacy: Other;Discrediting the West, Diplomacy: The EU is divided;Discrediting the West, Diplomacy: The West is weak","URW"
"BG_1559.txt","Половината от кипърските плажове може да изчезнат до 50 години

Ако настоящите нива на емисиите на парникови газове се запазят и не се предприемат действия навреме, покачването на морското равнище се очаква да унищожи около 50% от плажовете на Кипър през следващите 50 години, съобщава БТА, цитирайки Джордж Зитис, асоцииран научен сътрудник в Центъра за върхови постижения за изследване на климата и атмосферата в Кипърския институт.
Пред КНА д-р Зитис посочи, че изменението на климата прави Кипър по-топъл и по-сух с множество въздействия върху природата, човешкото здраве и икономиката. Той отбеляза, че дори днес да спрем газовите емисии, се очаква температурата да продължи да се покачва през следващите 20-30 години и затова са необходими мерки за адаптиране към новите условия.
„Кипър и по-широкият регион на Източното Средиземноморие са засегнати предимно от все по-високите температури, особено през летния сезон', каза той пред КНА, отбелязвайки, че в други части на света, например в Северна Европа, повишаването на температурата се наблюдава главно през зимата.
Това увеличава последиците, тъй като Кипър се намира в особено топъл регион. Тези последици, добави д-р Зитис, засягат потреблението на енергия, селскостопанското производство и човешкото здраве. „Наскоро имахме два смъртни случая от топлинен удар', каза той. Освен това той отбеляза, че горските пожари също са свързани с високите летни температури.
Друга характеристика на региона, която д-р Зитис посочи, е, че повишаването на температурата е съпътствано от намаляване на валежите. „Въпреки че тенденциите не са толкова отчетливи, както при температурата, ние се движим към по-сухи средни климатични стойности', каза той, като отбеляза разликата в по-северните ширини, където изменението на климата допринася за увеличаване на валежите.
Запитан за въздействието на повишаването на морското равнище в Кипър, той каза, че в страната по-голямата част от инфраструктурата, летищата, пристанищата, електроцентралите са разположени близо до брега. Освен това по-голяма част от туристическата дейност се намира в близост до плажовете, добави той. „Смятаме, че те ще бъдат засегнати от покачването на морското равнище', каза той.
Той добави, че при песимистичен сценарий, при който парниковите газове продължават да се отделят със сегашните темпове и не се предприемат навременни действия, „се очаква покачването на морското равнище да унищожи около 50% от плажовете на Кипър', пояснявайки, че прогнозите са за следващите 50 години.
Попитан дали ситуацията е обратима, ако се вземат мерки, той каза, че мерките трябва да бъдат в краткосрочен план, „тоест през следващото десетилетие, за да се намали обемът на емисиите на парникови газове толкова, че да се ограничи затоплянето и повишаването на морското равнище'.
Въпреки това, подчерта д-р Зитис, „мащабът на концентрациите е такъв, че дори ако днес напълно да спрем емисиите на парникови газове, през следващите 2-3 десетилетия температурата ще продължи да се повишава'. Ето защо, каза той, ще трябва да се вземат някои мерки за адаптиране към тези все по-горещи и сухи условия.
Тези мерки биха могли да включват по-рационално използване на водните ресурси, енергийно по-ефективни сгради, климатизация, култури, които са по-издръжливи при по-топли и по-сухи условия и дори промяна в туристическия модел, „тъй като нашите лета може да са твърде горещи за туристите и затова трябва да видим какви са възможностите в малко по-хладните периоди от годината', каза д-р Зитис.
Запитан дали мерките, които Кипър предприема за ограничаване на емисиите на парникови газове, са достатъчни, той каза, че Кипър, като страна членка на ЕС, трябва да се съобрази с целите на ЕС, които според него са доста амбициозни. „Малко изоставаме, има какво да се подобрява, например в производството на електроенергия, тези усилия може да се засилят', заключи д-р Зитис.","Amplifying Climate Fears;Amplifying Climate Fears","Amplifying existing fears of global warming;Whatever we do it is already too late","Amplifying Climate Fears: Amplifying existing fears of global warming;Amplifying Climate Fears: Whatever we do it is already too late","CC"
