article_id,content,narrative,subnarrative,narrative_subnarrative,domain
"HI_122.txt","क्या यूक्रेन-रूस की लड़ाई परमाणु युद्ध की ओर बढ़ रही है? मॉस्को ने शुरू की ...

रूस और यूक्रेन युद्ध शुरू हुए दो साल से ज्यादा हो गए हैं. युद्ध की विभीषिका बहुत भीषण है लेकिन ना तो रूस पीछे हटने को तैयार है और ना ही यूक्रेन हथियार डालने को रजामंद हैं. इस बीच खबर है कि रूस की सेनाओं ने टैक्टिकल परमाणु हथियारों के साथ सैन्याभ्यास शुरू कर दिया है.
रूस के राष्ट्रपति व्लादिमीर पुतिन ने यूक्रेन की सीमा के पास टैक्टिकल न्यूक्लियर वेपन के साथ सैन्याभ्यास का आदेश दिया था. सुरक्षा विशेषज्ञों का कहना है कि इस सैन्याभ्यास को पुतिन की वॉर्निंग के सिग्नल के तौर पर डिजाइन किया गया है. इसे इस तरह से देख सकते हैं कि पुतिन ने पश्चिमी देशों को चेतावनी दी है कि वे यूक्रेन के साथ उसके युद्ध में अब अधिक हस्तक्षेप नहीं करें. दरअसल पश्चिमी देश रूस के साथ यूक्रेन के युद्ध में उसे हथियार और अन्य सहायता उपलब्ध करा रहे हैं.
रूस के रक्षा मंत्रालय का कहना है कि इस सैन्याभ्यास के पहले चरण में इस्कंदर और किंजल मिसाइलों को टेस्ट किया जाएगा. इस सैन्याभ्यास ने एक बार फिर से परमाणु हमले को लेकर सभी की चिंताओं को सामने ला दिया है.
रूस का सैन्याभ्यास उसके दक्षिणी सैन्य जिले में हो रहा है, जिसकी सीमा यूक्रेन के उन हिस्सों से लगती है, जिन पर मॉस्को ने 2022 में हमला शुरू होने के बाद से अवैध रूप से कब्जा कर लिया था.
क्या है टैक्टिकल परमाणु हथियार?
- परमाणु हथियारों को दो कैटेगरी में बांटा गया है. एक है स्ट्रैटजिक और दूसरी है टेक्टिकल. स्ट्रैटजिक परमाणु हथियारों का इस्तेमाल लंबी दूरी के लिए किया जाता है. इसका मकसद ज्यादा से ज्यादा तबाही मचाना होता है. वहीं, टेक्टिकल परमाणु हथियार कम दूरी के लिए और कम तबाही मचाने के लिए होता है.
- टेक्टिकल परमाणु हथियारों का इस्तेमाल सीमित स्तर पर होता है. इनका इस्तेमाल जंग के मैदानों और सैन्य ठिकानों को नुकसान पहुंचाने के इरादे से किया जाता है. इनमें छोटे बम, मिसाइलें और माइन्स भी शामिल होती हैं.
- टेक्टिकल परमाणु हथियार छोटे साइज से लेकर बड़े साइज तक के होते हैं. छोटे हथियारों का वजन 1 किलो टन या उससे भी कम हो सकता है. जबकि, बड़े साइज के हथियार 100 किलो टन तक के हो सकते हैं.
कितने खतरनाक होते हैं ऐसे हथियार?
- परमाणु हथियार कितने खतरनाक होंगे और उनसे कितनी तबाही मचेगी, ये उनके साइज पर निर्भर करता है. हालांकि, टेक्टिकल परमाणु हथियार भी अपने साथ कम तबाही लेकर नहीं आते.
- इन हथियारों से होने वाली तबाही का अनुमान लगाना हो तो इसकी तुलना हिरोशिमा में गिरे परमाणु बम से की जा सकती है. हिरोशिमा में अमेरिका ने जो परमाणु बम गिराया था, वो 15 किलो टन का था. उससे 1.46 लाख मौतें हुई थीं.
- कोल्ड वॉर के समय अमेरिका और रूस, दोनों ने ही अपने परमाणु हथियारों की संख्या कम कर दी थी. हालांकि, अब भी रूस के पास 2 हजार से ज्यादा टेक्टिकल परमाणु हथियार होने का अनुमान है. अमेरिका के पास ऐसे 200 हथियार हैं.
- सबसे ज्यादा परमाणु हथियार भी रूस के पास ही हैं. फेडरेशन ऑफ अमेरिकन साइंटिस्ट के मुताबिक, रूस के पास 5 हजार 977 परमाणु हथियार हैं. वहीं, अमेरिका के पास 5 हजार 428 परमाणु हथियार हैं.","Amplifying war-related fears","There is a real possibility that nuclear weapons will be employed","Amplifying war-related fears: There is a real possibility that nuclear weapons will be employed","URW"
"HI_94.txt","यूक्रेन को हथियार सप्लाई के दावे वाली रिपोर्ट को भारत ने बताया भ्रामक ...

रॉयटर्स की एक रिपोर्ट के मुताबिक, रूस-यूक्रेन युद्ध के बीच रूस भारत से नाराज हो गया है क्योंकि भारत के हथियार निर्माता जो हथियार यूरोप को बेच रहे हैं, वो यूरोप के जरिए यूक्रेन पहुंच रहा है. रिपोर्ट के मुताबिक, रूस इसका कई बार विरोध कर चुका है लेकिन भारत ने इस तरह के व्यापार को रोकने के लिए किसी तरह का हस्तक्षेप नहीं किया है.
समाचार एजेंसी रॉयटर्स ने भारतीय और यूरोपीय सरकार, रक्षा उद्योग के अधिकारियों से बातचीत के आधार पर तैयार की गई अपनी रिपोर्ट में ये बातें कही हैं.
भारत ने रिपोर्ट को भ्रामक बताया
Reuters की इस रिपोर्ट पर भारत की तरफ से विदेश मंत्रालय के प्रवक्ता रणधीर जायसवाल का बयान आया है. उन्होंने कहा, 'Reuters की रिपोर्ट अटकलों पर आधारित और भ्रामक है. रिपोर्ट का कहना है कि भारत ने उल्लंघन किया है. जबकि ऐसा कुछ नहीं है. इसलिए यह रिपोर्ट गलत है. सैन्य और ड्युल यूज आइटम के निर्यात पर अंतर्राष्ट्रीय दायित्वों के अनुपालन का भारत का रिकॉर्ड बेदाग रहा है. भारत अपने रक्षा निर्यातों को परमाणु अप्रसार संबंधी अंतर्राष्ट्रीय दायित्वों को ध्यान में रखते हुए और नियामक ढांचे के आधार पर कर रहा है.'
बता दें कि रिपोर्ट में एजेंसी ने अधिकारियों से बात करने के साथ-साथ सीमा शुल्क डेटा के विश्लेषण की बात भी कही है. सूत्रों और सीमा शुल्क डेटा के अनुसार, रूस के खिलाफ यूक्रेन के डिफेंस सिस्टम का समर्थन करने के लिए हथियारों का हस्तांतरण एक साल से अधिक समय से हो रहा है.
तीन भारतीय अधिकारियों ने रॉयटर्स को बताया कि रूस ने कम से कम दो मौकों पर इस मुद्दे को उठाया है. जुलाई के महीने में रूसी विदेश मंत्री सर्गेई लावरोव ने इस मुद्दे को विदेश मंत्री एस. जयशंकर के समक्ष उठाया था.
विदेश मंत्रालय ने यूक्रेन तक हथियार पहुंचने पर क्या कहा था?
जनवरी में भारतीय विदेश मंत्रालय के प्रवक्ता रणधीर जायसवाल से भारतीय हथियारों के यूक्रेन तक पहुंचने के बारे में सवाल किया गया था. जवाब में उन्होंने कहा था कि भारत ने यूक्रेन को तोप के गोले नहीं भेजे हैं और न ही बेचे हैं.
भारत सरकार के दो और रक्षा उद्योग के दो सूत्रों ने कि यूक्रेन जिन गोला-बारूदों का इस्तेमाल कर रहा है, उनमें से बहुत कम का उत्पादन भारत ने किया है. एक अधिकारी ने अनुमान लगाया कि फरवरी 2022 में रूस के साथ युद्ध शुरू होने के बाद से यूक्रेन ने जितने भी हथियार का आयात किया है, यह उसके 1% से भी कम है. हालांकि, यह स्पष्ट नहीं हो सका है कि ये गोला-बारूद यूरोपीय देशों ने यूक्रेन को दान में दिया है या फिर बेचा है.
कौन देश यूक्रेन को भेज रहे भारत का हथियार?
एक स्पेनिश और एक वरिष्ठ भारतीय अधिकारी, साथ ही यंत्र इंडिया के एक पूर्व शीर्ष अधिकारी ने रॉयटर्स को बताया कि यूक्रेन को भारतीय हथियार भेजने वाले यूरोपीय देशों में इटली और चेक गणराज्य भी शामिल हैं. यूरोपीय संघ के ये दो बड़े सदस्य देश हैं जो यूक्रेन को बड़ी मात्रा में हथियार भेज रहे हैं. यंत्र इंडिया एक सरकारी कंपनी है जिसके हथियारों का इस्तेमाल यूक्रेन में हो रहा है.
भारतीय अधिकारी ने कहा कि सरकार स्थिति पर नजर रख रही है. लेकिन, हथियार हस्तांतरण के बारे में सीधे जानकारी रखने वाले रक्षा उद्योग के एक अधिकारी की तरह ही उन्होंने कहा कि भारत ने हथियार आपूर्ति रोकने के लिए कोई कार्रवाई नहीं की है.
'यूक्रेन युद्ध को अवसर के रूप में देख रहा भारत...'
रूस भारत का पारंपरिक मित्र रहा है और लंबे समय से हथियारों की सप्लाई करता आया है. भारत ने रूस-यूक्रेन संघर्ष को देखते हुए रूस पर लगे पश्चिमी प्रतिबंधों से खुद को दूर रखा है और रूस की आलोचना करने से भी बचता रहा है.
लेकिन आधिकारिक सोच से परिचित छह भारतीय सूत्रों ने रॉयटर्स से बताया कि भारत यूरोप में चल रहे युद्ध को अपने नए-नए पनप रहे हथियार निर्यात क्षेत्र को विकसित करने के अवसर के रूप में देख रहा है. अधिकारियों ने कहा कि हथियारों का बड़ा आयातक भारत निर्यातक बनने की दौड़ में है. थिंक-टैंक स्टॉकहोम इंटरनेशनल पीस रिसर्च इंस्टीट्यूट के जमा किए गए आंकड़ों के अनुसार, भारत ने 2018 और 2023 के बीच लगभग 3 अरब डॉलर के हथियारों का निर्यात किया.
रक्षा मंत्री राजनाथ सिंह ने 30 अगस्त को एक सम्मेलन में कहा कि पिछले वित्त वर्ष में रक्षा निर्यात 2.5 अरब डॉलर को पार कर गया और भारत 2029 तक इसे लगभग 6 अरब डॉलर तक बढ़ाना चाहता है.
रूस-यूक्रेन युद्ध शुरू होने के बाद बढ़ गया भारत का हथियार निर्यात
सीमा शुल्क रिकॉर्ड से पता चलता है कि रूस-यूक्रेन युद्ध शुरू होने से पहले के दो सालों में, भारत के तीन प्रमुख गोला-बारूद निर्माता- यंत्र, म्यूनिशंस इंडिया और कल्याणी स्ट्रेटेजिक सिस्टम्स ने इटली, चेक गणराज्य, स्पेन और स्लोवेनिया को केवल 28 लाख डॉलर के गोला-बारूद का निर्यात किया. आंकड़ों से पता चलता है कि फरवरी 2022 और जुलाई 2024 के बीच यह आंकड़ा बढ़कर 13. 525 करोड़ डॉलर हो गया. इसमें युद्ध सामग्री भी शामिल है, जिसे भारत ने चार देशों को निर्यात करना शुरू कर दिया है.
स्टैनफोर्ड विश्वविद्यालय में भारत के रक्षा विशेषज्ञ अरजान तारापोरे ने कहा कि हथियारों के निर्यात को बढ़ाने की भारत की कोशिश यूक्रेन को हथियार हस्तांतरित करने का एक प्रमुख कारण था. उन्होंने कहा, 'भारत के हथियारों के निर्यात में अचानक से उछाल आया है और हथियार का इस्तेमाल कौन कर रहा है, इसे लेकर भी उल्लंघन के मामले सामने आए हैं.
गुप्त तरीके से हो रही डिलीवरी
यंत्र के पूर्व शीर्ष अधिकारी ने बताया कि इटली की अनलिस्टेड डिफेंस कॉन्ट्रैक्टर कंपनी Meccanica per l'Elettronica e Servomeccanismi (MES) उन कंपनियों में शामिल है, जो यूक्रेन को भारत में बने गोले भेज रही हैं.
MES यंत्र का सबसे बड़ा विदेशी ग्राहक है. कार्यकारी ने बताया कि रोम स्थित यह कंपनी भारत से खाली कारतूस खरीदती है और उनमें विस्फोटक भरती है.
जयशंकर से मुलाकात में रूसी विदेश मंत्री ने क्या शिकायत की?
भारत अपने रक्षा इस्तेमाल का 60% से अधिक हथियार रूस से आयात करता है. जुलाई में, तीसरी बार प्रधानमंत्री चुने जाने के बाद प्रधानमंत्री नरेंद्र मोदी अपने पहले विदेश दौरे में रूस गए थे.
इस मुलाकात की प्रत्यक्ष जानकारी रखने वाले एक भारतीय अधिकारी ने बताया कि उसी महीने कजाकिस्तान में विदेश मंत्री जयशंकर और लावरोव के बीच बैठक हुई थी. इस बैठक में रूसी विदेश मंत्री ने यूक्रेन द्वारा भारतीय हथियारों के इस्तेमाल के बारे में पूछा था. उन्होंने शिकायत की थी कि यूक्रेन जिन हथियारों का इस्तेमाल कर रहा है, उनमें से कुछ हथियार भारतीय कंपनियों ने बनाए हैं. जवाब में जयशंकर ने क्या कहा, इसकी जानकारी साझा नहीं की गई.
किंग्स कॉलेज लंदन के दक्षिण एशिया सुरक्षा विशेषज्ञ वाल्टर लैडविग का कहना है कि कम मात्रा में यूरोप के जरिए यूक्रेन तक गोला-बारूद पहुंचाना भारत के लिए फायदे का सौदा रहा.
उन्होंने कहा, 'इससे भारत को पश्चिमी देशों को यह दिखाने का मौका मिलता है कि वो रूस-यूक्रेन संघर्ष में 'रूस के पक्ष में' नहीं है.' उन्होंने यह भी कहा कि रूस का दिल्ली के फैसलों पर कोई प्रभाव नहीं होता है.","Distrust towards Media","Western media is an instrument of propaganda","Distrust towards Media: Western media is an instrument of propaganda","URW"
"HI_78.txt","यूक्रेन के पोलटावा में अस्पताल-शिक्षण संस्थानों पर रूस का स्ट्राइक ...

यूक्रेन के राष्ट्रपति वलोदिमीर जेलेंस्की ने एक बयान में बताया कि पोलटावा में एक रूसी मिसाइल हमले में 41 लोगों की जान चली गई और 180 से ज्यादा लोग घायल हो गए. जेलेंस्की ने इस हमले को मानवता के खिलाफ अपराध करार देते हुए कहा कि दो बैलिस्टिक मिसाइलों ने क्षेत्र को निशाना बनाया.
जेलेंस्की ने कहा, 'मुझे पोलटावा में रूसी हमले के शुरुआती रिपोर्ट मिली है. दो बैलिस्टिक मिसाइलों ने इस क्षेत्र को निशाना बनाया. उन्होंने एक शैक्षणिक संस्था और पास के एक अस्पताल को निशाना बनाया, जिससे टेलिकम्युनिकेशंस इंस्टिट्यूट की एक इमारत का हिस्सा आंशिक रूप से नष्ट हो गया.'
यह भी पढ़ें: यूक्रेन के वॉर जोन में 10 हजार KM घूमा इंटरनेशनल फोटोग्राफर, ग्राउंड पर क्या मंजर देखा?
पोलटावा में सबसे घातक हमला
रूस द्वारा किए गए ताजा हमलों में यूक्रेन के मध्य पोल्टावा क्षेत्र को निशाना बनाया गया और कहा जा रहा है कि यह मॉस्को द्वारा किए गए सबसे घातक हमलों में से एक है. 2022 में 24 फरवरी को शुरू हुआ जंग अबतक दर्जनों की जानें ले चुका है. हालांकि, यूक्रेनी सेना इन दिनों रूस के भीतर है और रूस को कई क्षेत्रों का नुकसान भी हुआ है.
एयर स्ट्राइक में 41 लोगों की मौत
राष्ट्रपति ने बताया कि इस हमले में कई लोग मलबे में फंस गए थे. हालांकि, कई लोगों को बचा लिया गया है, लेकिन इस घटना में 180 से ज्यादा लोग घायल हुए हैं. उन्होंने बताया कि अब तक की मिली जानकारी के मुताबिक, हमले में 41 लोग मारे गए हैं.
एयर डिफेंस सिस्टम की मांग
यूक्रेनी राष्ट्रपति ने कहा, 'मैंने सभी घटनाओं की पूरी और तुरंत जांच का आदेश दिया है. सभी आवश्यक सेवाएं बचाव कार्यों में लगी हुई हैं. मैं उन सभी का आभारी हूं जिन्होंने हमले के बाद बचाव अभियान का मोर्चा संभाला.
यह भी पढ़ें: 'मैं वंदे भारत से भी यूक्रेन जा सकता था', 10 घंटे की ट्रेन यात्रा के सवाल पर जयशंकर ने मजाकिया अंदाज में दिया जवाब
जेलेंस्की ने जोर देकर कहा, 'रूस को घातक हमले का खामियाजा अवश्य भुगतना पड़ेगा. हम दुनिया के उन सभी लोगों से आग्रह करते हैं जो इस आतंक को रोक सकते हैं: यूक्रेन को अब एयर डिफेंस सिस्टम और मिसाइलों की जरूरत है.","Other","Other","O: t: h: e: r",""
"HI_27.txt","नई दिल्ली: दिल्ली मेईतेई समन्वय समिति (डीएमसीसी) ने प्रधानमंत्री नरेंद्र मोदी से जानना चाहा है कि उनका दिल केवल यूक्रेन युद्ध में मारे गए लोगों के लिए क्यों दुखता है, मणिपुर में जारी जातीय संघर्ष के कारण मारे गए लोगों के लिए क्यों नहीं दुखता.
रिपोर्ट के मुताबिक, 11 जुलाई को जारी एक बयान में डीएमसीसी ने कहा कि अंतरराष्ट्रीय मंच पर शांति को बढ़ावा देने के लिए प्रधानमंत्री मोदी के प्रयासों की सराहना की गई है, लेकिन मणिपुर में गंभीर घरेलू संकट के प्रति उनकी ‘स्पष्ट उपेक्षा’ ने नागरिकों और राजनीतिक पर्यवेक्षकों के बीच महत्वपूर्ण चिंताएं पैदा कर दी हैं.
डीएमसीसी के बयान में कहा गया है कि प्रधानमंत्री ने मणिपुर का दौरा करने में रुचि नहीं दिखाई है, जो दिल्ली से 2,411 किलोमीटर दूर है और हवाई मार्ग से मात्र 2 घंटे 50 मिनट की दूरी पर है.
बयान में कहा गया है, ‘रूस और यूक्रेन के बीच युद्ध में जब मासूम बच्चे मारे जाते हैं तो मोदी का दिल दुखता है, लेकिन मणिपुर में बच्चों सहित सैकड़ों मासूम लोगों की जान जाने पर उनका दिल नहीं पसीजता. उनके अपने नागरिकों की अनदेखी की गई है.’
इसमें आगे कहा गया है, ‘मणिपुर में हिंसा का समाधान करने में भारत सरकार की विफलता ने दिखाया है कि इस क्षेत्र को नजरअंदाज किया जा रहा है और हाशिए पर रखा जा रहा है. मणिपुर के निवासी खुद को उपेक्षित महसूस करते हैं और उनका मानना है कि केंद्र सरकार राज्य के लोगों की सुरक्षा और भलाई सुनिश्चित करने के बजाय राष्ट्रीय सुरक्षा हितों के लिए राज्य को मोहरे के रूप में इस्तेमाल कर रही है.’
मोदी की आधिकारिक वेबसाइट के आंकड़ों का हवाला देते हुए डीएमसीसी ने कहा कि मोदी ने 2017 में सबसे ज़्यादा उत्तर प्रदेश और गुजरात की यात्रा की. उन्होंने इन राज्यों का 21-21 बार दौरा किया. प्रधानमंत्री ने पिछले चार सालों में सिक्किम, मिजोरम और पुड्डुचेरी का सिर्फ़ एक दौरा किया है जबकि अरुणाचल प्रदेश और नागालैंड का सिर्फ़ दो बार दौरा किया है. 2014 से 2018 के बीच उन्होंने सबसे अधिक 49 दौरे उत्तर प्रदेश के किए, जिनमें आधिकारिक और अनौपचारिक, दोनों तरह के दौरे शामिल हैं.
बयान में कहा गया है, ‘हालांकि, वह हिंसा प्रभावित मणिपुर का दौरा करने में विफल रहे हैं, जहां संघर्ष में दोनों पक्षों के सैकड़ों निर्दोष लोगों की जान चली गई है.’
मणिपुर संकट पर मोदी सरकार की प्रतिक्रिया काफी हद तक टालमटोल वाली रही है. प्रधानमंत्री मोदी को पिछले साल राज्य में हिंसा शुरू होने के 70 दिन बाद 20 जुलाई को अपनी चुप्पी तोड़ने के लिए तब मजबूर होना पड़ा था, जब दो कुकी महिलाओं को नग्न अवस्था में घुमाने का दर्दनाक वीडियो ऑनलाइन सामने आया था. राष्ट्रीय और वैश्विक स्तर पर पनपे आक्रोश के बाद मोदी बोलने के लिए मजबूर हुए थे.
पिछले साल अगस्त में विपक्ष द्वारा उनकी सरकार के खिलाफ अविश्वास प्रस्ताव लाने के बाद भी उन्होंने संसद में मणिपुर संघर्ष पर भी बात की थी. हाल ही में, 3 जुलाई को मोदी ने संसद में कहा था कि हिंसा की घटनाएं ‘लगातार कम हो रही हैं’ और उनकी सरकार राज्य में हालात सामान्य बनाने के लिए ‘प्रयास’ कर रही है.
पिछले साल 3 मई को शुरू हुई हिंसा के बाद से 200 से ज़्यादा लोग मारे गए हैं और हज़ारों लोग घायल हुए हैं. 60,000 से ज़्यादा लोग विस्थापित हुए हैं और राहत शिविरों में शरण ले रहे हैं.
कुकी संगठनों ने कहा- मुख्यमंत्री की ‘शांति वार्ता’ के बारे में उन्हें कोई जानकारी नहीं है
बुधवार को राजधानी इंफाल में मीडिया से बातचीत के दौरान मुख्यमंत्री एन. बीरेन सिंह ने कहा था कि मणिपुर में जारी संघर्ष में सीधे तौर पर शामिल कुकी और मेईतेई समुदायों के बीच बातचीत शुरू हो चुकी है, लेकिन जनजातीय कुकी समुदाय की शीर्ष संस्था कुकी इंपी मणिपुर (केआईएम) ने गुरुवार को कहा कि उन्हें कुकी-जो लोगों और मेईतेई के बीच किसी भी ‘शांति वार्ता’ की कोई जानकारी नहीं है.
साथ ही, हिंदुस्तान टाइम्स ने बताया है कि केआईएम ने प्रेस को जारी एक बयान में कहा है कि कुकी इंपी मणिपुर सरकार के राजनीतिक बहिष्कार के अपने संकल्प पर प्रतिबद्ध रहेगा. उन्होंने राज्य सरकार पर कुकी-जो लोगों के उत्पीड़न की साजिश रचने और उसे अंजाम देने का आरोप लगाया है.
बयान में कहा गया है कि कुकी-जो समुदाय के लोग, जो मणिपुर सरकार के कथित राज्य प्रायोजित जातीय सफाए अभियान के शिकार रहे हैं,अपने लोगों के न्याय और समानता के उत्पीड़कों के साथ बातचीत नहीं कर सकते हैं.
इसमें आगे कहा गया है, ‘कुकी-ज़ो लोगों के लिए विधानसभा सहित केंद्र शासित प्रदेश की मांग लंबे समय से भारत सरकार के समक्ष संवैधानिक कार्यवाही के लिए रखी गई है और कुकी-ज़ो लोग इस मांग के पूरा होने तक इसके लिए प्रतिबद्ध हैं.’
बयान में आगे दर्ज है, ‘कुकी इंपी और इसके घटक संगठनों की जानकारी के बिना कोई भी शांति वार्ता या राजनीतिक वार्ता केवल भ्रम है. कुकी इंपी और इसके घटक संगठन ही कुकी-ज़ो लोगों के लिए आगे बढ़ने का रास्ता निकालने वाले एकमात्र वैध निकाय हैं.’
इस बीच, कुकी छात्र संगठन (केएसओ) ने मुख्यमंत्री से मणिपुर संकट और शांति बहाली के संबंध में कुकी और मेईतेई के बीच हुई बातचीत का सटीक विवरण उजागर करने का आग्रह किया है.
बता दें कि सीएम ने वार्ता या उसकी प्रगति का ब्यौरा नहीं दिया था.
केएसओ ने एक बयान जारी करके कहा है, ‘सीएम को शांति वार्ता में शामिल संगठन या व्यक्ति के बारे में सटीक विवरण का खुलासा करना चाहिए. अगर यह सच है, तो हम इन वार्ताओं के बारे में सीएम से पारदर्शिता और जवाबदेही की मांग करते हैं.’
छात्र संगठन ने दावा किया कि उन्हें मुख्यमंत्री या किसी घाटी-आधारित नागरिक समाज संगठन (सीएसओ) के बीच किसी भी शांति वार्ता की जानकारी नहीं है और आरोप लगाया कि मुख्यमंत्री ने एक बार फिर केंद्र और आम जनता के सामने अपनी प्रतिष्ठा बचाने के लिए मीडिया में नौटंकी की है.
केएसओ ने स्पष्ट किया कि आज तक शांति वार्ता के लिए किसी भी सरकारी एजेंसी से कोई औपचारिक निमंत्रण नहीं मिला है. इसने जोर देकर कहा कि सीएम केंद्र सरकार की भागीदारी तथा उपस्थिति और कुकी समुदाय की जानकारी के बिना ऐसी वार्ता का दावा नहीं कर सकते.
इस बीच, कुकी ग्राम स्वयंसेवक समूह ने भी बुधवार को एक बयान में उक्त ‘शांति वार्ता’ में भाग लेने वाले सभी व्यक्तियों या संगठनों को तलब किया और उन्हें 48 घंटे के भीतर सीएसओ और कुकी गांव स्वयंसेवकों सहित सभी हितधारकों से माफ़ी मांगने का निर्देश दिया.
समूह ने कहा कि वे ऐसे किसी भी व्यक्ति या समूह को बर्दाश्त नहीं करेंगे जो केआईएम, केएसओ और कुकी महिला मानवाधिकार संगठन सहित सीएसओ से परामर्श के बिना किसी भी वार्ता में भाग लेते हैं.
इसने चेतावनी दी कि जो भी व्यक्ति चेतावनी का उल्लंघन करता पाया जाएगा उसे दंड का सामना करना पड़ेगा, जिसमें सामाजिक बहिष्कार और अन्य कठोर उपाय शामिल होंगे.","Other","Other","O: t: h: e: r",""
"HI_104.txt","युद्ध और शांति: भारत और रूस-यूक्रेन शांति पहल - The Hindu

प्रधानमंत्री नरेन्द्र मोदी की कीव यात्रा के कुछ ही दिनों बाद, उनकी अमेरिकी राष्ट्रपति जोसेफ बाइडेन और रूसी राष्ट्रपति व्लादिमीर पुतिन के साथ टेलीफोन पर हुई बातचीत ने इस बात की उम्मीद जगा दी है कि नई दिल्ली रूस-यूक्रेन संघर्ष में शांति स्थापित करने की दिशा में प्रयास करने के लिए तैयार है। सितंबर में मोदी की संयुक्त राष्ट्र की यात्रा और ब्रिक्स शिखर सम्मेलन के लिए अक्टूबर में रूस की एक और यात्रा ने उन उम्मीदों को हवा दी है। संयुक्त राष्ट्र की यात्रा के दौरान मोदी अमेरिकी एवं यूरोपीय नेताओं से मुलाकात करेंगे और संभवतः यूक्रेनी राष्ट्रपति वलोडिमिर जेलेंस्की से फिर मिलेंगे। हालांकि, भारतीय भूमिका की अटकलों को बढ़ावा देने वाले लोगों के लिए हालातों और भारत की अब तक के रवैये पर सावधानीपूर्वक विचार करना फायदेमंद रहेगा। सन् 2022 में यूक्रेन पर रूसी हमले के बाद से, भारत इस पचड़े से दूर रहा है: इस कवायद में विदेश मंत्री एस. जयशंकर द्वारा कभी इस लड़ाई को 'यूरोप का युद्ध' कहना; किसी भी शांति प्रक्रिया में रूस और यूक्रेन को बातचीत की मेज पर लाना शामिल नहीं होना और यहां तक कि स्विस शांति शिखर सम्मेलन से खुद को अलग रखना शामिल है। भले ही मोदी ने यह लगातार कहा है कि भारत सिर्फ 'शांति के पक्ष में' है, लेकिन नई दिल्ली को उसके ऐतिहासिक संबंधों और सैन्य एवं ऊर्जा संबंधी निर्भरता के मद्देनजर मास्को के प्रति पक्षपाती के रूप में देखा गया है। लिहाजा भारत को खुद को और ज्यादा निष्पक्ष छवि में ढालने की जरूरत होगी। इस बीच, यह युद्ध बदस्तूर जारी है, जो दोनों पक्षों के इस विश्वास को दर्शाता है कि अभी भी सैन्य बढ़त हासिल करना बाकी है। रूस द्वारा जुलाई में मोदी की मास्को यात्रा से ऐन पहले यूक्रेन पर घातक हमले करना और यूक्रेन द्वारा पिछले सप्ताह कीव की उनकी यात्रा से ठीक पहले रूस के कुर्स्क ओब्लास्ट में कार्रवाई करना यह दर्शाता है कि अपने मेहमान की संवेदनाओं की परवाह किए बिना जेलेंस्की और पुतिन किस कदर खतरनाक शक्ति प्रदर्शन कर सकते हैं तथा किस किस्म का संदेश दे सकते हैं।
इस किस्म के मुश्किल हालातो में, नई दिल्ली अगर वाकई इस संघर्ष के समाधान में भागीदारी चाहने वाले अन्य लोगों की श्रेणी में शामिल होना चाहता है तो उसे सावधानी से आगे बढ़ना होगा। इस दिशा में सफल प्रयास कम रहे हैं और इसके लिए केंद्रित एजेंडा - काला सागर अनाज पहल; ज़पोरिज्ह्ज्हिया बिजली संयंत्र में परमाणु सुरक्षा के संबंध में आईएईए के प्रयास; और रूसी एवं यूक्रेनी कैदियों का ताजा आदान-प्रदान की जरूरत है। भारत को युद्धविराम समझौते और स्थायी शांति के संबंध में अपने खुद के सिद्धांतों को भी स्पष्ट करना चाहिए। मोदी सरकार को भारत के अपने इतिहास का अध्ययन करने से काफी फायदा हो सकता है: 1950 के दशक में, प्रधानमंत्री जवाहरलाल नेहरू ने वियना के कहने पर, युद्ध के बाद ऑस्ट्रिया के उत्तर-पूर्वी इलाके से सैनिकों की वापसी के मसले पर ऑस्ट्रियाई तटस्थता के वादे के एवज में सोवियत नेता निकिता ख्रुश्चेव के साथ मध्यस्थता की थी। भारतीय शांति पहल उन प्रस्तावों से और भी ज्यादा जटिल हो जाएगी जो खुद यूक्रेन और रूस ने सामने रखे हैं: जेलेंस्की ने पहले रूस द्वारा यूक्रेन से पूर्ण सैन्य वापसी पर जोर दिया है और पुतिन ने अब रूस द्वारा कब्जा किए गए इलाकों से यूक्रेनी सेनाओं के हटने तथा कीव को औपचारिक रूप से नाटो में शामिल होने के किसी भी प्रयास को छोड़ देने का आह्वान किया है।","Praise of Russia","Russia has international support from a number of countries and people","Praise of Russia: Russia has international support from a number of countries and people","URW"
