article_id,content,narrative,subnarrative,narrative_subnarrative,domain
"PT_22.txt","Sabotagem dos Nord Stream pelos EUA poderá destruir completamente a NATO, diz especialista

Um jornalista de investigação avaliou a situação em torno dos gasodutos russos, cuja investigação já foi abandonada pela Suécia e pela Dinamarca, gesto visto pelo próprio como uma tentativa de ocultar a verdade.

Na segunda-feira (26), a Dinamarca tornou-se o segundo país europeu a encerrar oficialmente a sua investigação sobre a explosão nos gasodutos Nord Stream 1 (Corrente do Norte 1) e Nord Stream 2 (Corrente do Norte 2).

O Nord Stream tem desempenhado um papel crucial no abastecimento da indústria alemã e no fornecimento de energia de baixo custo em toda a Europa.

Os observadores culparam imediatamente os Estados Unidos pelo acontecimento, que ocorreu em setembro de 2022, destacando a promessa enigmática de Joe Biden, presidente dos EUA, de 'pôr um ponto final' ao projeto se a Rússia colocasse as suas tropas na Ucrânia em resposta à opressão da população russófona de Donbass. O inquérito da Dinamarca apurou mesmo que as explosões foram um ato de 'sabotagem deliberada', mas as autoridades recusaram-se a investigar quem era o responsável.

Antes disso, no início do mês, a Suécia encerrou a sua própria investigação.

'É uma farsa absoluta', disse na quarta-feira (28) o jornalista de investigação Dan Lazare.

«Não sei por quanto mais tempo isto pode continuar. Quer dizer, a Dinamarca investigou, chegou a uma conclusão, e toda a gente sabe que foi obviamente uma sabotagem — isto era óbvio desde o início. E [a Dinamarca] abstém-se de apontar o dedo a um provável culpado.'

Disse estar 100% convencido de que 'os Estados Unidos' são os culpados e de que 'Dinamarca, Suécia, toda a gente tem medo de dizer isto. É extraordinário'.

Lazare vê a situação beneficiar os partidos de extrema-direita de todo o continente, como a Alternativa para a Alemanha (AfD, na sigla alemã), que são os únicos dispostos a reconhecer abertamente o papel dos EUA no ato.

'Portanto, se a AfD está a subir nas sondagens, têm de agradecer a Joe Biden, porque Joe Biden fez explodir o gasoduto, e toda a gente tem medo de o admitir', concluiu Lazare, mencionando também Donald Trump nos EUA, Marine Le Pen em França, Geert Wilders nos Países Baixos e Giorgia Meloni em Itália.

'O centro está a autodestruir-se e praticamente agora está a introduzir a extrema-direita para ocupar o seu lugar', disse, prevendo que os legisladores do sistema 'pagarão um preço terrível, terrível por encobrir isto [a sabotagem do Nord Stream]'.

Ao mesmo tempo, indica, 'as consequências políticas teriam sido terríveis' se os líderes reconhecessem publicamente a responsabilidade dos Estados Unidos pela sabotagem do Nord Stream.

'Quando as pessoas admitem o que aconteceu, a NATO [Organização do Tratado do Atlântico Norte] vai basicamente pelos ares, porque uma aliança não é um esquema para um membro atacar outro', afirmou.

'É um pacto de defesa mútua, e os EUA violaram-no em grande escala. Esta [sabotagem] do Nord Stream é um acontecimento que terá repercussões durante décadas. É uma explosão no coração da aliança ocidental — destruirá completamente a aliança ocidental. Não há como a NATO sobreviver a este golpe quando este se tornar demasiado grande para ser ignorado', deixou claro Dan Lazare.
","Discrediting the West, Diplomacy;Negative Consequences for the West;Amplifying war-related fears","Other;Other;Other","Discrediting the West, Diplomacy: Other;Negative Consequences for the West: Other;Amplifying war-related fears: Other","URW"
"PT_14.txt","Putin afirma que a Rússia vai tratar as tropas norte-americanas na Ucrânia como intervencionistas

O presidente russo, Vladimir Putin, afirmou que a Rússia irá considerar eventuais tropas norte-americanas enviadas para a Ucrânia como intervencionistas.

As declarações foram feitas durante a entrevista ao diretor-geral do grupo mediático Rossiya Segodnya, do qual a Sputnik faz parte, Dmitry Kiselev.

Putin respondeu ao anúncio de que os EUA não enviariam tropas para a Ucrânia, afirmando que a Rússia não subestimaria a gravidade de tal ação.

'Sabemos o que são tropas norte-americanas em território russo, são tropas de intervenção, e é assim que as vamos tratar, mesmo que apareçam em território da Ucrânia', afirmou o presidente russo.

Putin salientou que Washington compreende a posição da Rússia sobre este assunto. As tensões entre a Rússia e o Ocidente têm vindo a aumentar desde 2014 e os EUA e os seus aliados da Organização do Tratado do Atlântico Norte (NATO) têm apoiado Kiev.

Putin, na entrevista, também não descartou a possibilidade de a Rússia realizar testes nucleares se os EUA o fizerem. 'Se realizarem tais testes, não excluo, não é obrigatório, se precisarmos disso, não precisamos, ainda temos de pensar, mas não excluo que possamos fazer o mesmo.'

Especificou que as forças russas estão preparadas para uma guerra nuclear: 'Do ponto de vista militar, é claro que estamos prontos. As nossas forças estão constantemente em estado de prontidão.'

'Eu disse que [o presidente dos EUA, Joe] Biden é uma pessoa representante da escola política tradicional, e isso está a ser confirmado. Lá, além de Biden, há muitos outros especialistas em relações russo-americanas e em estratégia de dissuasão. Portanto, não acredito que tudo esteja a encaminhar-se diretamente para isso, mas nós estamos preparados.'

Salientou que existe um tratado que proíbe testes deste tipo. Os norte-americanos não ratificaram o Tratado de Proibição Total de Ensaios Nucleares (CTBT, na sigla inglesa), e a Rússia retirou a sua ratificação para manter a paridade, recordou o presidente russo.

'Como o tratado não foi ratificado pelos Estados Unidos, não entrou em vigor legalmente, porque não recebeu o número necessário de ratificações. No entanto, ainda observamos estes acordos', disse Putin.

No entanto, acrescentou que nos EUA está a ser considerada a possibilidade de realizar tais testes. 'Isto está relacionado com o facto de que, quando surgem novas ogivas, alguns especialistas acreditam que não é suficiente testá-las apenas no computador, precisam de ser testadas em condições reais.'

'Estas ideias estão a circular em certos grupos nos EUA. Nós sabemos disso. E também estamos a observar', disse o presidente russo.

O tratado multilateral foi adotado pela Assembleia Geral da Organização das Nações Unidas (ONU) em 10 de setembro de 1996, com o objetivo de prevenir a proliferação de armas nucleares em todas as suas vertentes.

A 2 de novembro de 2023, o líder russo assinou a lei pela qual a Rússia retira a sua ratificação do CTBT.
","Negative Consequences for the West;Overpraising the West;Amplifying war-related fears;Praise of Russia;Discrediting the West, Diplomacy","Other;The West has the strongest international support;There is a real possibility that nuclear weapons will be employed;Praise of Russian military might;Other","Negative Consequences for the West: Other;Overpraising the West: The West has the strongest international support;Amplifying war-related fears: There is a real possibility that nuclear weapons will be employed;Praise of Russia: Praise of Russian military might;Discrediting the West, Diplomacy: Other","URW"
"PT_13.txt","Rússia elimina até 245 militares, várias peças de artilharia e atinge sistema Patriot dos EUA

Na direção de Donetsk, as tropas russas tomaram posições mais vantajosas, as perdas da Ucrânia nas últimas 24 horas foram de até 245 soldados, um tanque e uma peça de artilharia autopropulsada AS-90 Braveheart de produção britânica, aponta o comunicado do Ministério da Defesa da Rússia.

Por sua vez, de acordo com o Ministério da Defesa, na região de Carcóvia as tropas russas atingiram um sistema de mísseis antiaéreos Patriot produzido nos EUA, além disso, na mesma região foi eliminada uma instalação de reparação de armas e equipamento militar. Já na República Popular de Donetsk (RPD) os militares russos destruíram em terra dois helicópteros Mi-8 da Força Aérea da Ucrânia.

Na direção de Kupyansk as tropas ucranianas perderam cerca de 250 soldados, sete tanques, sete veículos de combate de infantaria Bradley, dois veículos blindados de transporte, quatro carros, um obus M777, dois canhões D-20 e vários outros equipamentos militares.

No último dia, o Exército russo repeliu 12 contra-ataques das tropas ucranianas e melhorou a posição na zona dianteira da direção de Avdeevka. As perdas inimigas totalizaram 460 militares, uma peça de artilharia autopropulsada AS-90 Braveheart do Reino Unido, um sistema de artilharia M777 de produção norte-americana, um obus Msta-B e um canhão M119 também dos EUA.

As unidades russas derrotaram duas brigadas ucranianas e repeliram um contra-ataque na direção sul de Donetsk, Kiev perdeu até 150 combatentes e dois veículos blindados de transporte.

Os sistemas russos de defesa antiaérea abateram no passado dia dez projécteis de sistemas de lançamento múltiplo de rockets Himars e Grad, três bombas guiadas Hammer e 136 drones ucranianos, noticia o Ministério da Defesa.

No total, desde o início da operação militar especial, foram destruídos 577 aviões do adversário, 269 helicópteros, 15362 veículos aéreos não tripulados, 485 sistemas de defesa antiaérea, 15464 tanques e outros veículos blindados de combate, 1238 lançadores múltiplos de foguetes, 8397 peças de artilharia de campanha e morteiros e 19709 unidades de veículos militares especiais ucranianos, resumiu o Ministério da Defesa russo.
","Praise of Russia;Discrediting Ukraine","Praise of Russian military might;Discrediting Ukrainian military","Praise of Russia: Praise of Russian military might;Discrediting Ukraine: Discrediting Ukrainian military","URW"
"PT_49.txt","Vice-Primeiro-Ministro de Itália sugere que Macron use capacete e vá para a Ucrânia

O Ministro dos Transportes e das infraestruturas de Itália, Matteo Salvini, sugeriu que Emmanuel Macron fosse à Ucrânia e participasse nas hostilidades.

'Vou dizer a Macron: vá para a Ucrânia para lutar, coloque um capacete e não brinque com os italianos', disse Salvini num evento de campanha do candidato do seu partido liga para presidente da câmara da cidade.

O líder da Liga tem criticado constantemente os líderes da NATO e da UE pela sua posição de aumentar o apoio militar a Kiev e pela sua vontade de levantar as restrições aos ataques da Ucrânia com armas ocidentais no território da Federação Russa. O chefe da diplomacia da UE, Josep Borrell Salvini, chamou ao Demoman e ao Secretário – Geral da NATO, Stoltenberg, o 'Senhor perigoso'.

Macron disse anteriormente que não exclui a possibilidade de enviar tropas para a Ucrânia se a Rússia romper as linhas da frente e houver um pedido da Ucrânia. Segundo ele, 'muitos países' concordaram com a abordagem da França sobre o possível envio de tropas.

Segundo o jornal 'Monde', Macron quer criar uma coligação europeia para enviar instrutores militares para a Ucrânia.

O porta-voz do presidente russo, Dmitry Peskov, classificou a perigosa retórica de Paris e Londres sobre a possibilidade de enviar soldados para a Ucrânia. O Kremlin disse ainda que chamou a atenção para as palavras de Macron sobre o tema do envio de militares para a Ucrânia na Europa, a sua posição sobre infligir uma 'derrota estratégica' a Moscovo também é bem conhecida. Observaram que vários países mantêm 'uma avaliação bastante sóbria dos perigos potenciais de tal ação e do perigo potencial de se envolverem diretamente num conflito quente', isto 'não é de todo do interesse desses países, devem estar cientes disso'.
","Discrediting the West, Diplomacy;Overpraising the West;Negative Consequences for the West","Other;The West has the strongest international support;Sanctions imposed by Western countries will backfire","Discrediting the West, Diplomacy: Other;Overpraising the West: The West has the strongest international support;Negative Consequences for the West: Sanctions imposed by Western countries will backfire","URW"
"PT_21.txt","Não queremos que o conflito na Ucrânia se transforme numa guerra entre a Rússia e a NATO, diz Alemanha

A insinuação feita na segunda-feira (26) pelo presidente francês, Emmanuel Macron, de que os aliados da Organização do Tratado do Atlântico Norte (NATO) poderiam enviar tropas para a Ucrânia ainda está a ter repercussões entre os líderes europeus e norte-americanos.

Esta quarta-feira (28), Berlim fez questão de deixar claro mais uma vez que não vai enviar tropas para o território ucraniano e que não pretende expandir o conflito.

'A NATO não é nem tornar-se-á parte no conflito. Isto continuará a ser o caso. Não queremos que a guerra da Rússia com a Ucrânia se transforme numa guerra entre a Rússia e a NATO. Estamos unidos a todos os nossos aliados. Isto também significa: nenhum envolvimento alemão na guerra! E posso dizer sem rodeios, como chanceler federal, que não enviarei soldados das Forças Armadas alemãs para a Ucrânia!', disse o chanceler Olaf Scholz num vídeo publicado sobre o assunto na sua conta no X (antigo Twitter).

Também hoje Washington voltou a pronunciar-se sobre o envio de tropas através do porta-voz do Departamento de Estado, Matthew Miller.

Quando questionado por um correspondente da Sputnik sobre o assunto, Miller disse que 'as outras nações decidirão o que desejam fazer. Mas em nome dos Estados Unidos, o presidente [Joe Biden] deixou claro que não haverá presença militar americana em solo', afirmou.

Para a representante oficial do Ministério dos Negócios Estrangeiros russo, Maria Zakharova, os aliados da França não compreenderam nem apoiaram a ideia do presidente francês.

'Esta mesma declaração chocou os seus aliados da NATO. Logo, algumas horas depois, foi feita uma série de declarações pelos dirigentes dos países da NATO, […] desassociando-se desta declaração de Macron. Que eles próprios não planeiam nada disto, não planeiam enviar ninguém e entendem que esta já será uma história diferente', afirmou.

Ontem (27) o porta-voz da presidência russa, Dmitry Peskov, disse que se as tropas forem enviadas, 'teremos de falar não sobre a probabilidade, mas sobre a inevitabilidade de um confronto direto entre a Rússia e a NATO'.
","Discrediting the West, Diplomacy;Negative Consequences for the West;Amplifying war-related fears","Other;Other;Russia will also attack other countries","Discrediting the West, Diplomacy: Other;Negative Consequences for the West: Other;Amplifying war-related fears: Russia will also attack other countries","URW"
"PT_30.txt","Analista: elite ocidental usou a Ucrânia como 'cobaia para testes em humanos' após o golpe de 2014

Ao realizarem testes em humanos, as grandes farmacêuticas não pensaram duas vezes antes de utilizar os hospitais de certos países em desenvolvimento, sem 'controlos rigorosos' para tais ações, disse à Sputnik William Jones, antigo correspondente da Casa Branca e membro não residente do Instituto Chongyang para Estudos Financeiros.

Recentemente, a Sputnik obteve uma série de documentos que indicam que os medicamentos reumatológicos foram alegadamente testados durante vários anos em doentes psiquiátricos de um hospital da cidade de Mariupol, a pedido das grandes empresas farmacêuticas ocidentais e com a assistência das autoridades ucranianas.

Os documentos contêm informações pertencentes a empresas como a Pfizer, AstraZeneca, Celltrion, Novatris International AG, Merck KGaA e uma filial da Samsung que produz equipamentos médicos. Os testes foram realizados enquanto o governo de Kiev mantinha Mariupol, até maio de 2022, quando a Rússia assumiu o controlo da cidade.

Os pacientes da ala psiquiátrica do hospital № 7 de Mariupol foram provavelmente usados como 'cobaias' vulneráveis em experiências que não teriam sido permitidas nos países onde estas empresas farmacêuticas estão localizadas, disse William Jones, ex-correspondente na Casa Branca da Executive Intelligence Review e bolseiro não residente do Instituto Chongyang de Estudos Financeiros, Universidade Renmin da China, disse à Sputnik.

'Em geral, tem sido prática utilizar alguns dos países em desenvolvimento que não têm controlos tão rigorosos para este tipo de experiências', observou Jones, aludindo à Ucrânia.

Após o golpe de Maidan em Kiev, em 2014, o país 'tornou-se efetivamente uma 'cobaia' para quaisquer experiências que as forças das elites ocidentais lhes reservassem, como vemos de forma mais dramática na forma como a 'nação' da Ucrânia está a ser reduzida a nada por causa da guerra por procuração da NATO contra a Rússia', segundo o especialista.

Abordou ainda a questão da 'extensa rede de laboratórios biológicos que foram criados na Ucrânia ao longo dos 20 anos, em grande parte com a ajuda, e sem dúvida a pedido, dos Estados Unidos', algo que Jones recordou ter sido repetidamente apontado pelo tenente-general Igor Kirillov, chefe das Tropas de Defesa Radiológica, Química e Biológica do Ministério da Defesa russo.

'Dada a atual situação na Ucrânia, com a crescente compreensão de que a Ucrânia — ou a NATO — não pode 'vencer' este conflito utilizando armas convencionais, bem como a determinação da NATO em não aceitar uma resolução pacífica a menos que a Rússia seja derrotada, poderia muito bem levar à utilização de alguma forma de guerra biológica por parte da NATO para 'equilibrar o campo de jogo'', alertou Jones.

Na primavera europeia de 2022, as Tropas de Defesa Radiológica, Química e Biológica da Rússia trouxeram luz ao alcance alarmante das atividades biomilitares dos EUA que ocorrem em vários locais da Ucrânia. Estas investigações revelaram a colaboração entre Washington e Kiev na investigação e tratamento de vários agentes patogénicos altamente perigosos. Posteriormente, várias destas descobertas foram corroboradas de forma independente.
","Discrediting Ukraine;Discrediting the West, Diplomacy;Discrediting Ukraine;Amplifying war-related fears;Speculating war outcomes;Discrediting the West, Diplomacy;Discrediting Ukraine","Ukraine is a hub for criminal activities;The West does not care about Ukraine, only about its interests;Ukraine is a puppet of the West;Other;Other;Other;Other","Discrediting Ukraine: Ukraine is a hub for criminal activities;Discrediting the West, Diplomacy: The West does not care about Ukraine, only about its interests;Discrediting Ukraine: Ukraine is a puppet of the West;Amplifying war-related fears: Other;Speculating war outcomes: Other;Discrediting the West, Diplomacy: Other;Discrediting Ukraine: Other","URW"
"PT_06.txt","Rússia denuncia que os EUA estão a encobrir os responsáveis pelo ataque à Câmara Municipal de Crocus

Os Estados Unidos estão a encobrir os responsáveis pelo ataque terrorista à sala de concertos russa do Crocus City Hall, denunciou o Serviço de Informações Externas russo.

'Os norte-americanos estão a proteger os responsáveis pelo ataque terrorista ao Crocus City Hall', afirmou a organização, citada pela sua assessoria de imprensa.

Segundo a nota, 'o Serviço de Informações Externas da Federação Russa informa que a administração [do presidente dos EUA, Joe Biden] está a intensificar os seus esforços para criar uma imagem distorcida do grande ataque terrorista ocorrido na Rússia no dia 22 de março'.

Washington começou também a encobrir o presidente ucraniano, Vladimir Zelensky, logo após o ataque, acrescenta o texto.

O Departamento de Estado dos EUA, os seus serviços especiais e organizações afiliadas foram encarregues de 'eliminar qualquer tipo de suspeita que a comunidade internacional tenha sobre o envolvimento de Zelensky e do seu círculo mais próximo no crime'.

As agências norte-americanas estão a tentar convencer os seus aliados de que é o grupo Daesh (organização terrorista proibida na Rússia e noutros países) que está por trás do ataque nos arredores de Moscovo, informou a inteligência russa.

'Uma guerra terrorista contra a Rússia'

Segundo a declaração, o atual governo de Kiev está a travar uma guerra terrorista total contra a Rússia.

'O regime de Kiev tem travado uma guerra terrorista de pleno direito contra a Rússia já há algum tempo, como afirmam abertamente os seus representantes, como Kirill Budanov [chefe da Inteligência Militar ucraniana] e Vasily Malyuk [chefe do Serviço de Segurança ucraniano]', refere o texto.

No domingo (31), o Ministério dos Negócios Estrangeiros russo informou ter enviado às autoridades ucranianas exigências de detenção e extradição de todas as pessoas envolvidas no ataque à Câmara Municipal de Crocus e noutros ataques ocorridos nos últimos anos.

O ministério mencionou os assassinatos dos jornalistas Daria Dugina e Vladlen Tatarsky, sublinhando que as investigações 'indicam que os vestígios de todos estes crimes levam à Ucrânia'.
","Discrediting the West, Diplomacy;Blaming the war on others rather than the invader;Discrediting Ukraine","Other;Ukraine is the aggressor;Discrediting Ukrainian government and officials and policies","Discrediting the West, Diplomacy: Other;Blaming the war on others rather than the invader: Ukraine is the aggressor;Discrediting Ukraine: Discrediting Ukrainian government and officials and policies","URW"
"PT_12.txt","Cenário de tomada militar do parlamento ucraniano foi redigido pelos EUA, diz especialista

A tomada do parlamento ucraniano pelos militares do país não seria um movimento popular, disse o especialista Aleksandr Dudchak à Sputnik, sugerindo que uma potencial rebelião foi orquestrada a partir do Ocidente.

Os desiludidos militares ucranianos estão a planear assumir o controlo da Suprema Rada (parlamento ucraniano), revela uma troca de mensagens de um canal privado do Telegram chamado ParaBelum, obtida pela Sputnik.

'Este poderia ser um cenário de substituição do presidente ucraniano, Vladimir Zelensky, sem a realização de eleições', disse Aleksandr Dudchak, investigador do Instituto dos Países da Comunidade dos Estados Independentes (CEI) e especialista do movimento 'Outra Ucrânia', à Sputnik.

Os membros do canal confidencial, composto por comandantes e soldados de unidades de elite das Forças Armadas ucranianas, discutiam opções para derrubar o atual governo e o seu comando militar após a demissão do então comandante-chefe, o general Valery Zaluzhny.

'A ação mais importante que precisaremos de realizar rapidamente é a tomada da VR [Suprema Rada] num determinado momento', escreveu um dos participantes do chat.

Os membros manifestaram ainda insatisfação com as decisões de Zelensky e do novo comandante-chefe das Forças Armadas ucranianas, Aleksandr Syrsky, que foi nomeado há um mês para substituir Zaluzhny. Os alegados conspiradores golpistas deram especial ênfase ao envolvimento das tropas ucranianas que combatem na linha da frente no movimento anti-Zelensky.

Segundo o investigador Dudchak, o envolvimento de pessoal ucraniano em serviço ativo está repleto de riscos, uma vez que aqueles que estão nas trincheiras são monitorizados de perto por mercenários estrangeiros de 'destacamentos de contenção' com ordens para disparar sobre qualquer um que abandone as suas posições.

Se as tropas ucranianas forem autorizadas a marchar em direção a Kiev, isso significaria que o cenário de mudança de regime foi escrito em Washington em resposta à recusa de Zelensky em realizar eleições este ano, argumentou Dudchak.

Os líderes das unidades de elite ucranianas, o Serviço de Segurança da Ucrânia (SBU, na sigla em ucraniano) e os batalhões nacionalistas Azov e Aidar (organizações nazis terroristas, proibidas na Rússia) também estão alegadamente a planear criar um partido radical com uma ala militar.

O especialista insiste que nenhuma das estruturas militares e de inteligência ucranianas é independente, defendendo que cada uma delas tem 'supervisores' britânicos ou norte-americanos.

'O confronto entre os militares e o regime de Kiev é, em geral, uma manifestação do confronto entre Londres e Washington', disse Dudchak. 'O gabinete do presidente está sob controlo britânico, enquanto os militares, que supostamente vão reunir-se em nome de Zaluzhny, estão sob o controlo dos norte-americanos, e a SBU é também uma estrutura apoiada pelos EUA.'

As consequências para Kiev seriam dramáticas e poderiam complicar seriamente as posições dos militares ucranianos na linha da frente, concluiu o investigador.
","Discrediting Ukraine;Discrediting Ukraine;Discrediting Ukraine","Ukraine is a puppet of the West;Discrediting Ukrainian government and officials and policies;Ukraine is associated with nazism","Discrediting Ukraine: Ukraine is a puppet of the West;Discrediting Ukraine: Discrediting Ukrainian government and officials and policies;Discrediting Ukraine: Ukraine is associated with nazism","URW"
"PT_15.txt","Comunicação social ocidental foi instruída para não falar sobre vítimas do atentado perto de Moscovo, diz Rússia

O Ministério dos Negócios Estrangeiros russo condenou o que disse ser uma tentativa do Ocidente de encobrir o seu papel e demonizar o governo russo após a tragédia na sala de concertos.

Os meios de comunicação ocidentais foram instruídos para manter o silêncio sobre o número de vítimas do ataque terrorista no Crocus City Hall, comunicou esta segunda-feira (8) o Ministério dos Negócios Estrangeiros russo.

'Particularmente cínicas são as tentativas do Ocidente de distrair a comunidade internacional dos verdadeiros organizadores e beneficiários, através da instrução categórica para não cobrir a verdadeira escala da tragédia nos media: não mencionar o número de vítimas do ataque terrorista, de crianças mortas, nem mostrar a reação dos cidadãos comuns ao sucedido', indica o ministério no seu canal de Telegram.

A chancelaria explicou o facto pelo desejo de não demonstrar simpatia e humanismo em relação aos russos.

O ministério acrescentou que, imediatamente após o ataque, os meios de comunicação social e as autoridades ocidentais organizaram uma campanha de relações públicas para negar o envolvimento dos serviços de segurança ucranianos.

Assim, os meios de comunicação social foram instruídos para replicar a versão de que o Daesh (organização terrorista proibida na Rússia e em vários outros países) esteve envolvido na organização do ataque; foi orientada para negar as ligações dos islamistas a Kiev e com os serviços secretos ocidentais, bem como para desacreditar os resultados da investigação e para promover a teoria de que 'os serviços secretos russos estiveram envolvidos'.

A 22 de março, vários homens armados invadiram a sala de concertos Crocus City Hall e começaram a disparar sobre as pessoas. Os terroristas provocaram também um incêndio no local. O ataque fez 144 mortos, segundo os últimos dados do Ministério para as Situações de Emergência.

Os quatro principais suspeitos do caso — todos cidadãos do Tajiquistão — tentaram fugir do local de carro, mas foram detidos já perto da fronteira russa e acusados de terrorismo.

As autoridades russas acreditam que o plano dos suspeitos era fugir para a Ucrânia, onde os organizadores do ataque tinham um refúgio seguro para eles. Uma investigação sobre o caso está em curso.
","Discrediting the West, Diplomacy;Distrust towards Media;Russia is the Victim;Discrediting Ukraine","Other;Other;Other;Ukraine is a hub for criminal activities","Discrediting the West, Diplomacy: Other;Distrust towards Media: Other;Russia is the Victim: Other;Discrediting Ukraine: Ukraine is a hub for criminal activities","URW"
"PT_20.txt","Espanha é novo país a recusar envio de tropas europeias para a Ucrânia

Espanha não concorda com a proposta francesa de enviar tropas terrestres europeias para a Ucrânia, declarou esta terça-feira (27), em conferência de imprensa, a porta-voz do Governo espanhol, Pilar Alegría.

'Não estamos de acordo', afirmou, quando questionada sobre a posição de Madrid. Segundo a mesma, é necessário acelerar a entrega de armas a Kiev, que tem assistido a uma redução drástica de munições.

O presidente de França, Emmanuel Macron, comentou anteriormente que os líderes dos países ocidentais tinham debatido a possibilidade do envio de militares para a Ucrânia. Admitiu que não havia consenso sobre o assunto, mas que a situação poderia mudar.

O ministro dos Negócios Estrangeiros alemão, Olaf Scholz, voltou a afastar a hipótese, tal como a Polónia e a República Checa. Questionados sobre os comentários de Macron, o primeiro-ministro checo, Petr Fiala, e o seu homólogo polaco, Donald Tusk, disseram que o envio de soldados não seria uma opção.

No dia anterior, o primeiro-ministro da Eslováquia, Robert Fico, declarou também que o envio de tropas da Organização do Tratado do Atlântico Norte (NATO) e da União Europeia só levaria a uma escalada do conflito. Comentou ainda que o seu país não daria esse passo.

Segundo o líder francês, o importante foi 'mostrar à Rússia que o apoio ocidental à Ucrânia não vai acabar'.

A Rússia mantém desde 24 de fevereiro de 2022 uma operação militar especial na Ucrânia, cujos objetivos, segundo o presidente russo, Vladimir Putin, são proteger a população de um 'genocídio por parte de Kiev' e atacar os riscos para a segurança nacional representados pelo avanço da NATO para leste.

Moscovo tem alertado frequentemente que a NATO está a 'brincar com o fogo' ao enviar armas para a Ucrânia e que as cargas que contenham qualquer equipamento militar seriam consideradas 'alvos legítimos' para o Exército russo.

Os Estados Unidos e a NATO, segundo o ministro dos Negócios Estrangeiros russo, Sergei Lavrov, participam diretamente no conflito na Ucrânia — não apenas com o envio de armas, mas também através da formação de pessoal no Reino Unido, na Alemanha, em Itália e noutros países.
","Russia is the Victim;Negative Consequences for the West;Discrediting the West, Diplomacy","Russia actions in Ukraine are only self-defence;Other;Other","Russia is the Victim: Russia actions in Ukraine are only self-defence;Negative Consequences for the West: Other;Discrediting the West, Diplomacy: Other","URW"
