Subnarrative,Language,Count
Renewable energy is costly,BG,6
Climate policies have negative impact on the economy,BG,18
Renewable energy is unreliable,BG,6
Other,BG,121
Discrediting Ukrainian government and officials and policies,BG,29
Ukraine is a puppet of the West,BG,30
Situation in Ukraine is hopeless,BG,20
The West are the aggressors,BG,39
"The West does not care about Ukraine, only about its interests",BG,22
The West is russophobic,BG,14
Russian invasion has strong national support,BG,5
The West is weak,BG,22
The EU is divided,BG,15
Earth will be uninhabitable soon,BG,10
Amplifying existing fears of global warming,BG,28
Russia actions in Ukraine are only self-defence,BG,9
There is a real possibility that nuclear weapons will be employed,BG,14
Russia will also attack other countries,BG,19
Western media is an instrument of propaganda,BG,5
Whatever we do it is already too late,BG,8
Climate policies are ineffective,BG,10
Criticism of the EU,BG,6
Climate cycles are natural,BG,6
Ukraine is the aggressor,BG,16
Ukraine is associated with nazism,BG,8
Climate movement is alarmist,BG,2
Methodologies/metrics used are unreliable/faulty,BG,2
Russia is a guarantor of peace and prosperity,BG,11
Climate policies are only for profit,BG,8
Criticism of international entities,BG,6
UA is anti-RU extremists,BG,3
Praise of Russian military might,BG,26
Criticism of political organizations and figures,BG,10
Blaming global elites,BG,6
Climate agenda has hidden motives,BG,6
Climate movement is corrupt,BG,2
Discrediting Ukrainian military,BG,13
Doomsday scenarios for humans,BG,6
Praise of Russian President Vladimir Putin,BG,12
Discrediting Ukrainian nation and society,BG,4
Diplomacy does/will not work,BG,6
Rewriting Ukraine’s history,BG,2
Ukrainian army is collapsing,BG,7
Human activities do not impact climate change,BG,4
By continuing the war we risk WWIII,BG,14
Ice is not melting,BG,2
Temperature increase does not have significant impact,BG,4
Scientific community is unreliable,BG,2
Criticism of national governments,BG,4
Weather suggests the trend is global cooling,BG,4
Data shows no temperature increase,BG,2
CO2 is beneficial,BG,2
Discrediting Ukrainian government and officials and policies,EN,11
Western media is an instrument of propaganda,EN,14
Other,EN,74
Situation in Ukraine is hopeless,EN,7
West is tired of Ukraine,EN,12
Praise of Russian military might,EN,7
"The West does not care about Ukraine, only about its interests",EN,10
Diplomacy does/will not work,EN,10
There is a real possibility that nuclear weapons will be employed,EN,24
The West has the strongest international support,EN,5
The West is weak,EN,12
The West belongs in the right side of history,EN,12
NATO should/will directly intervene,EN,8
Russian army is collapsing,EN,8
Russia has international support from a number of countries and people,EN,4
The West is russophobic,EN,13
Russia will also attack other countries,EN,16
The West are the aggressors,EN,31
The EU is divided,EN,7
Ukrainian media cannot be trusted,EN,2
Ukraine is a puppet of the West,EN,12
The conflict will increase the Ukrainian refugee flows to Europe,EN,2
The West is overreacting,EN,4
Ukraine is associated with nazism,EN,7
Ukraine is the aggressor,EN,5
By continuing the war we risk WWIII,EN,9
Praise of Russian President Vladimir Putin,EN,2
Ukrainian army is collapsing,EN,9
Russia actions in Ukraine are only self-defence,EN,6
UA is anti-RU extremists,EN,6
Discrediting Ukrainian military,EN,5
Sanctions imposed by Western countries will backfire,EN,6
Other,PT,262
The West has the strongest international support,PT,10
There is a real possibility that nuclear weapons will be employed,PT,8
Praise of Russian military might,PT,29
Discrediting Ukrainian military,PT,24
Sanctions imposed by Western countries will backfire,PT,5
Russia will also attack other countries,PT,11
Ukraine is a hub for criminal activities,PT,22
"The West does not care about Ukraine, only about its interests",PT,20
Ukraine is a puppet of the West,PT,19
Ukraine is the aggressor,PT,12
Discrediting Ukrainian government and officials and policies,PT,32
Ukraine is associated with nazism,PT,7
Russia actions in Ukraine are only self-defence,PT,20
The West are the aggressors,PT,16
The EU is divided,PT,3
Russia is a guarantor of peace and prosperity,PT,32
