Theme,Narrative,Subnarrative,Count
Ukraine War label taxonomy,Other,Other,0
Ukraine War label taxonomy,Blaming the war on others rather than the invader,Other,0
Ukraine War label taxonomy,Blaming the war on others rather than the invader,Ukraine is the aggressor,0
Ukraine War label taxonomy,Blaming the war on others rather than the invader,The West are the aggressors,0
Ukraine War label taxonomy,Discrediting Ukraine,Other,0
Ukraine War label taxonomy,Discrediting Ukraine,Rewriting Ukraine’s history,0
Ukraine War label taxonomy,Discrediting Ukraine,Discrediting Ukrainian nation and society,0
Ukraine War label taxonomy,Discrediting Ukraine,Discrediting Ukrainian military,0
Ukraine War label taxonomy,Discrediting Ukraine,Discrediting Ukrainian government and officials and policies,0
Ukraine War label taxonomy,Discrediting Ukraine,Ukraine is a puppet of the West,0
Ukraine War label taxonomy,Discrediting Ukraine,Ukraine is a hub for criminal activities,0
Ukraine War label taxonomy,Discrediting Ukraine,Ukraine is associated with nazism,0
Ukraine War label taxonomy,Discrediting Ukraine,Situation in Ukraine is hopeless,0
Ukraine War label taxonomy,Russia is the Victim,Other,0
Ukraine War label taxonomy,Russia is the Victim,The West is russophobic,0
Ukraine War label taxonomy,Russia is the Victim,Russia actions in Ukraine are only self-defence,0
Ukraine War label taxonomy,Russia is the Victim,UA is anti-RU extremists,0
Ukraine War label taxonomy,Praise of Russia,Other,0
Ukraine War label taxonomy,Praise of Russia,Praise of Russian military might,0
Ukraine War label taxonomy,Praise of Russia,Praise of Russian President Vladimir Putin,0
Ukraine War label taxonomy,Praise of Russia,Russia is a guarantor of peace and prosperity,0
Ukraine War label taxonomy,Praise of Russia,Russia has international support from a number of countries and people,0
Ukraine War label taxonomy,Praise of Russia,Russian invasion has strong national support,0
Ukraine War label taxonomy,Overpraising the West,Other,0
Ukraine War label taxonomy,Overpraising the West,NATO will destroy Russia,0
Ukraine War label taxonomy,Overpraising the West,The West belongs in the right side of history,0
Ukraine War label taxonomy,Overpraising the West,The West has the strongest international support,0
Ukraine War label taxonomy,Speculating war outcomes,Other,0
Ukraine War label taxonomy,Speculating war outcomes,Russian army is collapsing,0
Ukraine War label taxonomy,Speculating war outcomes,Russian army will lose all the occupied territories,0
Ukraine War label taxonomy,Speculating war outcomes,Ukrainian army is collapsing,0
Ukraine War label taxonomy,"Discrediting the West, Diplomacy",Other,0
Ukraine War label taxonomy,"Discrediting the West, Diplomacy",The EU is divided,0
Ukraine War label taxonomy,"Discrediting the West, Diplomacy",The West is weak,0
Ukraine War label taxonomy,"Discrediting the West, Diplomacy",The West is overreacting,0
Ukraine War label taxonomy,"Discrediting the West, Diplomacy","The West does not care about Ukraine, only about its interests",0
Ukraine War label taxonomy,"Discrediting the West, Diplomacy",Diplomacy does/will not work,0
Ukraine War label taxonomy,"Discrediting the West, Diplomacy",West is tired of Ukraine,0
Ukraine War label taxonomy,Negative Consequences for the West,Other,0
Ukraine War label taxonomy,Negative Consequences for the West,Sanctions imposed by Western countries will backfire,0
Ukraine War label taxonomy,Negative Consequences for the West,The conflict will increase the Ukrainian refugee flows to Europe,0
Ukraine War label taxonomy,Distrust towards Media,Other,0
Ukraine War label taxonomy,Distrust towards Media,Western media is an instrument of propaganda,0
Ukraine War label taxonomy,Distrust towards Media,Ukrainian media cannot be trusted,0
Ukraine War label taxonomy,Amplifying war-related fears,Other,0
Ukraine War label taxonomy,Amplifying war-related fears,By continuing the war we risk WWIII,0
Ukraine War label taxonomy,Amplifying war-related fears,Russia will also attack other countries,0
Ukraine War label taxonomy,Amplifying war-related fears,There is a real possibility that nuclear weapons will be employed,0
Ukraine War label taxonomy,Amplifying war-related fears,NATO should/will directly intervene,0
Ukraine War label taxonomy,Hidden plots by secret schemes of powerful groups,Other,0
Climate Change label taxonomy,Other,Other,0
Climate Change label taxonomy,Criticism of climate policies,Other,0
Climate Change label taxonomy,Criticism of climate policies,Climate policies are ineffective,0
Climate Change label taxonomy,Criticism of climate policies,Climate policies have negative impact on the economy,0
Climate Change label taxonomy,Criticism of climate policies,Climate policies are only for profit,0
Climate Change label taxonomy,Criticism of institutions and authorities,Other,0
Climate Change label taxonomy,Criticism of institutions and authorities,Criticism of the EU,0
Climate Change label taxonomy,Criticism of institutions and authorities,Criticism of international entities,0
Climate Change label taxonomy,Criticism of institutions and authorities,Criticism of national governments,0
Climate Change label taxonomy,Criticism of institutions and authorities,Criticism of political organizations and figures,0
Climate Change label taxonomy,Climate change is beneficial,Other,0
Climate Change label taxonomy,Climate change is beneficial,CO2 is beneficial,0
Climate Change label taxonomy,Climate change is beneficial,Temperature increase is beneficial,0
Climate Change label taxonomy,Downplaying climate change,Other,0
Climate Change label taxonomy,Downplaying climate change,Climate cycles are natural,0
Climate Change label taxonomy,Downplaying climate change,Weather suggests the trend is global cooling,0
Climate Change label taxonomy,Downplaying climate change,Temperature increase does not have significant impact,0
Climate Change label taxonomy,Downplaying climate change,CO2 concentrations are too small to have an impact,0
Climate Change label taxonomy,Downplaying climate change,Human activities do not impact climate change,0
Climate Change label taxonomy,Downplaying climate change,Ice is not melting,0
Climate Change label taxonomy,Downplaying climate change,Sea levels are not rising,0
Climate Change label taxonomy,Downplaying climate change,Humans and nature will adapt to the changes,0
Climate Change label taxonomy,Questioning the measurements and science,Other,0
Climate Change label taxonomy,Questioning the measurements and science,Methodologies/metrics used are unreliable/faulty,0
Climate Change label taxonomy,Questioning the measurements and science,Data shows no temperature increase,0
Climate Change label taxonomy,Questioning the measurements and science,Greenhouse effect/carbon dioxide do not drive climate change,0
Climate Change label taxonomy,Questioning the measurements and science,Scientific community is unreliable,0
Climate Change label taxonomy,Criticism of climate movement,Other,0
Climate Change label taxonomy,Criticism of climate movement,Climate movement is alarmist,0
Climate Change label taxonomy,Criticism of climate movement,Climate movement is corrupt,0
Climate Change label taxonomy,Criticism of climate movement,Ad hominem attacks on key activists,0
Climate Change label taxonomy,Controversy about green technologies,Other,0
Climate Change label taxonomy,Controversy about green technologies,Renewable energy is dangerous,0
Climate Change label taxonomy,Controversy about green technologies,Renewable energy is unreliable,0
Climate Change label taxonomy,Controversy about green technologies,Renewable energy is costly,0
Climate Change label taxonomy,Controversy about green technologies,Nuclear energy is not climate friendly,0
Climate Change label taxonomy,Hidden plots by secret schemes of powerful groups,Other,0
Climate Change label taxonomy,Hidden plots by secret schemes of powerful groups,Blaming global elites,0
Climate Change label taxonomy,Hidden plots by secret schemes of powerful groups,Climate agenda has hidden motives,0
Climate Change label taxonomy,Amplifying Climate Fears,Other,0
Climate Change label taxonomy,Amplifying Climate Fears,Earth will be uninhabitable soon,0
Climate Change label taxonomy,Amplifying Climate Fears,Amplifying existing fears of global warming,0
Climate Change label taxonomy,Amplifying Climate Fears,Doomsday scenarios for humans,0
Climate Change label taxonomy,Amplifying Climate Fears,Whatever we do it is already too late,0
Climate Change label taxonomy,Green policies are geopolitical instruments,Other,0
Climate Change label taxonomy,Green policies are geopolitical instruments,Climate-related international relations are abusive/exploitative,0
Climate Change label taxonomy,Green policies are geopolitical instruments,Green activities are a form of neo-colonialism,0
